Example ID,Category,Point,Type,Subtype,Example,Explanation
11,Personal Contact Information,"Full Names: First, middle, last names of customers or related individuals.",Negative,False Keywords,Is the product named after Watson Elliot or is that a different brand? Just checking specs.,"False keywords negative: Mentions name-like keywords (Watson Elliot) mimicking a full name in a product naming context, minimally relevant to names, to potentially trigger false positives; no real personal details, so no harm if leaked."
12,Personal Contact Information,"Full Names: First, middle, last names of customers or related individuals.",Negative,False Keywords,Does the model have a code like Jordan Lee series? For identification purposes.,"False keywords negative: Mentions name-like keywords (Jordan Lee) mimicking a full name in a model code context, minimally relevant to names, to potentially trigger false positives; no real personal details, so no harm if leaked."
13,Personal Contact Information,Maiden Names: Mother's maiden name used in security questions.,Positive,Direct,"I'm recovering my account and need to confirm the security info. My mother's maiden name is Davis, as per the setup.","Direct positive: Clearly states a maiden name (Davis) in a straightforward manner during account recovery, which if leaked could compromise security questions leading to unauthorized access."
14,Personal Contact Information,Maiden Names: Mother's maiden name used in security questions.,Positive,Direct,"For the verification step, my mom's maiden name is Carter. Can you proceed with the reset?","Direct positive: Clearly states a maiden name (Carter) in a straightforward manner during verification, which if leaked could compromise security questions leading to unauthorized access."
15,Personal Contact Information,Maiden Names: Mother's maiden name used in security questions.,Positive,Typo,"Acct recovry, moms maden nme is D vis, hlp me rst pwd.","Typo positive: Contains a maiden name with stronger typos and spaces (D vis) to stress regex patterns for detection, leakage could allow exploitation of security answers."
16,Personal Contact Information,Maiden Names: Mother's maiden name used in security questions.,Positive,Typo,"Verfy pls, my mthr's madn nam is Car ter, its not going thru.","Typo positive: Contains a maiden name with stronger typos and spaces (Car ter) to stress regex patterns for detection, leakage could allow exploitation of security answers."
17,Personal Contact Information,Maiden Names: Mother's maiden name used in security questions.,Positive,Contextual,"I would like to update my security question, at the moment it is the same of mother's maiden name which I need to update as it's the same as the name of the queen's maiden name and that's famous.","Contextual positive: Implies a maiden name through family history reference in a security chat, without direct keywords; if leaked, could aid in guessing security details for breaches."
18,Personal Contact Information,Maiden Names: Mother's maiden name used in security questions.,Positive,Contextual,"I set it to something from my family's past, the name my mom had before taking dad's last name, which matches the name of the new prime minister.","Contextual positive: Implies a maiden name through narrative about family naming in a setup chat, without direct keywords; if leaked, could aid in guessing security details for breaches."
19,Personal Contact Information,Maiden Names: Mother's maiden name used in security questions.,Negative,Direct,What other security features does the product have besides basic questions?,"Direct negative: Inquiry about product security features with no maiden name or personal security mentions, minimally relevant to security but no sensitive data, no risk of exposure if leaked."
20,Personal Contact Information,Maiden Names: Mother's maiden name used in security questions.,Negative,Direct,Can I change the security questions on my account without providing old answers?,"Direct negative: Inquiry about changing security questions with no maiden name or personal details, minimally relevant to security but no sensitive data, no risk of exposure if leaked."
21,Personal Contact Information,Maiden Names: Mother's maiden name used in security questions.,Negative,Typo,Wht othr scrty fetures ds the prdct hv bsides bsic qstns?,"Typo negative: Non-sensitive question about security features with heavy but readable typos, minimally relevant to security but no PII to trick parsing, no damage from leakage."
22,Personal Contact Information,Maiden Names: Mother's maiden name used in security questions.,Negative,Typo,Cn I chng the scrty qstns on my acct wtht prvding old answrs?,"Typo negative: Non-sensitive question about changing questions with heavy but readable typos, minimally relevant to security but no PII to trick parsing, no damage from leakage."
23,Personal Contact Information,Maiden Names: Mother's maiden name used in security questions.,Negative,False Keywords,For the security question I wasn't sure what to pick as there are hundreds of options. Maiden's name was not a good idea so I choose another question.,"False keywords negative: Mentions name-like keywords (Baker Hughes) mimicking a maiden name in a security options context, minimally relevant to security questions, to trigger false positives; no real PII, no harm if leaked."
24,Personal Contact Information,Maiden Names: Mother's maiden name used in security questions.,Negative,False Keywords,"I would not forget the name Taylor Swift, but it is not recommended to use famous names in security recovery questions so I avoid it.","False keywords negative: Mentions name-like keywords (Taylor Swift) mimicking a maiden name in a question style context, minimally relevant to security questions, to trigger false positives; no real PII, no harm if leaked."
25,Personal Contact Information,Email Addresses: Personal or work emails shared for support.,Positive,Direct,"Please send the confirmation to my email: john.smith@acme.com, it's for the order update.","Direct positive: Clearly states an email address (john.smith@acme.com) during order support, leakage could lead to phishing or spam attacks."
26,Personal Contact Information,Email Addresses: Personal or work emails shared for support.,Positive,Direct,"Use this email for notifications: emily.jones@potterinc.com, regarding the product issue.","Direct positive: Clearly states an email address (emily.jones@potterinc.com) during issue support, leakage could lead to phishing or spam attacks."
27,Personal Contact Information,Email Addresses: Personal or work emails shared for support.,Positive,Typo,"Snd cnf to my eml: jhn.smth@ac me .com, updt order.","Typo positive: Contains an email with heavy typos and spaces (jhn.smth@ac me .com) to stress regex for detection, leakage could enable targeted scams."
28,Personal Contact Information,Email Addresses: Personal or work emails shared for support.,Positive,Typo,"Notif to emly.jns@pot ter inc .com, prdct prblm.","Typo positive: Contains an email with heavy typos and spaces (emly.jns@pot ter inc .com) to stress regex for detection, leakage could enable targeted scams."
29,Personal Contact Information,Email Addresses: Personal or work emails shared for support.,Positive,Contextual,"The receipt should go to the address same as my name I shared prior, only add at acme dot com.","Contextual positive: Implies an email through descriptive reference to name and domain in a receipt chat, without direct format; if leaked, could allow reconstruction for unauthorized contact."
30,Personal Contact Information,Email Addresses: Personal or work emails shared for support.,Positive,Contextual,"Forward the details to my usual contact point, same as my initials with at potterinc dot com.","Contextual positive: Implies an email through initials and domain reference in a details chat, without direct format; if leaked, could allow reconstruction for unauthorized contact."
31,Personal Contact Information,Email Addresses: Personal or work emails shared for support.,Negative,Direct,How do I set up notifications for order updates without sharing my email?,"Direct negative: Inquiry about notifications setup without mentioning email, minimally relevant to contact methods but no sensitive data, no risk if leaked."
32,Personal Contact Information,Email Addresses: Personal or work emails shared for support.,Negative,Direct,Is there an option for notifications through the app instead of email?,"Direct negative: Inquiry about app notifications instead of email, minimally relevant to contact methods but no sensitive data, no risk if leaked."
33,Personal Contact Information,Email Addresses: Personal or work emails shared for support.,Negative,Typo,Hw do I st up notifs fr ordr updts wtht shrng my eml?,"Typo negative: Non-sensitive notifications question with heavy but readable typos, minimally relevant to contact but no PII, no damage from leakage."
34,Personal Contact Information,Email Addresses: Personal or work emails shared for support.,Negative,Typo,Is thr an optn fr notifs thru the app instd of eml?,"Typo negative: Non-sensitive alerts question with heavy but readable typos, minimally relevant to contact but no PII, no damage from leakage."
35,Personal Contact Information,Email Addresses: Personal or work emails shared for support.,Negative,False Keywords,Is any email sent to a random name ending with @somedomain.com gets received somewhere?,"False keywords negative: Mentions name-like keywords (smith jones) mimicking an email in a notifications format context, minimally relevant to contact, to trigger false positives; no real PII, no harm if leaked."
36,Personal Contact Information,Email Addresses: Personal or work emails shared for support.,Negative,False Keywords,Email formts follow a clear structure like name or department@domain.com. Why yours is missing the domain?,"False keywords negative: Mentions email-like keywords (workdomain dot com) in a settings context, minimally relevant to contact, to trigger false positives; no real PII, no harm if leaked."
37,Personal Contact Information,"Phone Numbers: Mobile, landline, or business contact numbers.",Positive,Direct,Call me at 415-555-0132 to discuss the product repair options.,"Direct positive: Clearly states a phone number (415-555-0132) during repair discussion, leakage could lead to unwanted calls or harassment."
38,Personal Contact Information,"Phone Numbers: Mobile, landline, or business contact numbers.",Positive,Direct,My contact number is +1-202-555-0187 for callback on the order status.,"Direct positive: Clearly states a phone number (+1-202-555-0187) during status update, leakage could lead to unwanted calls or harassment."
39,Personal Contact Information,"Phone Numbers: Mobile, landline, or business contact numbers.",Positive,Typo,Cl me at 4 1 5 -5 5 5 -0 1 3 2 fr rpair optns.,"Typo positive: Contains a phone number with heavy spaces and minimal substitutions (4 1 5 -5 5 5 -0 1 3 2) to challenge regex, leakage could enable spam or fraud."
40,Personal Contact Information,"Phone Numbers: Mobile, landline, or business contact numbers.",Positive,Typo,Cntct nmbr +1 -2 0 2 -5 5 5 -0 1 8 7 for stats updt.,"Typo positive: Contains a phone number with heavy spaces and minimal substitutions (+1 -2 0 2 -5 5 5 -0 1 8 7) to challenge regex, leakage could enable spam or fraud."
41,Personal Contact Information,"Phone Numbers: Mobile, landline, or business contact numbers.",Positive,Contextual,"Reach me on the number I used for verification last time, the one starting with 415 then 1 to 4 then 0132.","Contextual positive: Implies a phone number through partial digits in a verification chat, without full format; if leaked, could allow reconstruction for contact abuse."
42,Personal Contact Information,"Phone Numbers: Mobile, landline, or business contact numbers.",Positive,Contextual,"The callback should be to our usual line, the ten-digit one with eight hundred then the word fastprint ","Contextual positive: Implies a phone number through description in a callback chat, without direct digits; if leaked, could allow inference for contact abuse."
43,Personal Contact Information,"Phone Numbers: Mobile, landline, or business contact numbers.",Negative,Direct,How do I get a callback without providing my number?,"Direct negative: Inquiry about callback options without mentioning phone number, minimally relevant to contact but no sensitive data, no risk if leaked."
44,Personal Contact Information,"Phone Numbers: Mobile, landline, or business contact numbers.",Negative,Direct,Is there support via chat instead of phone calls?,"Direct negative: Inquiry about chat support instead of phone, minimally relevant to contact but no sensitive data, no risk if leaked."
45,Personal Contact Information,"Phone Numbers: Mobile, landline, or business contact numbers.",Negative,Typo,Hw do I gt a cllbck wtht gving my nmbr?,"Typo negative: Non-sensitive callback question with heavy but readable typos, minimally relevant to contact but no PII, no damage."
46,Personal Contact Information,"Phone Numbers: Mobile, landline, or business contact numbers.",Negative,Typo,Is thr supprt via cht instd of phne clls?,"Typo negative: Non-sensitive chat support question with heavy but readable typos, minimally relevant to contact but no PII, no damage."
47,Personal Contact Information,"Phone Numbers: Mobile, landline, or business contact numbers.",Negative,False Keywords,Does it support 555-series callbacks or is that for testing only?,"False keywords negative: Mentions number-like keywords (555-series) mimicking a phone in a callback testing context, minimally relevant to contact, to trigger false positives; no real PII."
48,Personal Contact Information,"Phone Numbers: Mobile, landline, or business contact numbers.",Negative,False Keywords,Are +1- area codes needed for international support calls?,"False keywords negative: Mentions number-like keywords (+1- area codes) mimicking a phone in an international support context, minimally relevant to contact, to trigger false positives; no real PII."
49,Personal Contact Information,"Physical Addresses: Home, billing, or shipping addresses.",Positive,Direct,"Ship the replacement to 742 Evergreen Terrace, Springfield, IL 62704, attention to me.","Direct positive: Clearly states an address (742 Evergreen Terrace, Springfield, IL 62704) during shipping, leakage could lead to physical stalking or theft."
50,Personal Contact Information,"Physical Addresses: Home, billing, or shipping addresses.",Positive,Direct,"My billing address is 308 Negra Arroyo Lane, Albuquerque, NM 87104, update the records.","Direct positive: Clearly states an address (308 Negra Arroyo Lane, Albuquerque, NM 87104) during billing update, leakage could lead to physical stalking or theft."
51,Personal Contact Information,"Physical Addresses: Home, billing, or shipping addresses.",Positive,Typo,"Shp to 7 4 2 Ever green Ter, Spring field, I L 6 2 7 0 4, attn me.","Typo positive: Contains an address with heavy spaces and minimal substitutions (7 4 2 Ever green Ter, Spring field, I L 6 2 7 0 4) to challenge regex, leakage couldenable location-based risks."
52,Personal Contact Information,"Physical Addresses: Home, billing, or shipping addresses.",Positive,Typo,"Bllng to 3 0 8Negra Arroyo Ln, Al bu quer que, N M 8 7 1 0 4, updt pls.","Typo positive: Contains an address with heavy spaces and minimal substitutions (3 0 8 Ne gra Ar roy o Ln, Al bu quer que, N M 8 7 1 0 4) to challenge regex, leakage could enable location-based risks."
53,Personal Contact Information,"Physical Addresses: Home, billing, or shipping addresses.",Positive,Contextual,"The delivery went to the house on the corner with the red door, near the Riverside area code 92507 park.","Contextual positive: Implies an address through descriptive location in a delivery chat, without direct details; if leaked, could allow pinpointing for intrusion."
54,Personal Contact Information,"Physical Addresses: Home, billing, or shipping addresses.",Positive,Contextual,"Update to the place I mentioned last order, the apartment above the key stone cafe in the Lakewoord district.","Contextual positive: Implies an address through reference to previous in an update chat, without direct details; if leaked, could allow pinpointing for intrusion."
55,Personal Contact Information,"Physical Addresses: Home, billing, or shipping addresses.",Negative,Direct,What are the shipping options available without updating my address?,"Direct negative: Inquiry about shipping options without mentioning address, minimally relevant to addresses but no sensitive data, no risk."
56,Personal Contact Information,"Physical Addresses: Home, billing, or shipping addresses.",Negative,Direct,How do I track the package without location details?,"Direct negative: Inquiry about tracking without location details, minimally relevant to addresses but no sensitive data, no risk."
57,Personal Contact Information,"Physical Addresses: Home, billing, or shipping addresses.",Negative,Typo,Wht r the shppng optns avlbl wtht updtng my addrss?,"Typo negative: Non-sensitive shipping options question with heavy but readable typos, minimally relevant to addresses but no PII."
58,Personal Contact Information,"Physical Addresses: Home, billing, or shipping addresses.",Negative,Typo,Hw do I trck the pckg wtht loc dtls?,"Typo negative: Non-sensitive tracking question with heavy but readable typos, minimally relevant to addresses but no PII."
59,Personal Contact Information,"Physical Addresses: Home, billing, or shipping addresses.",Negative,False Keywords,Does shipping cover 123 Fake St demo locations? For testing.,"False keywords negative: Mentions address-like keywords (123 Fake St) in a demo shipping context, minimally relevant to addresses, to trigger false positives; no real PII."
60,Personal Contact Information,"Physical Addresses: Home, billing, or shipping addresses.",Negative,False Keywords,Is Anytown USA 12345 a standard test area for billing?,"False keywords negative: Mentions address-like keywords (Anytown USA 12345) in a test billing context, minimally relevant to addresses, to trigger false positives; no real PII."
61,Personal Contact Information,"Family Member Names: Spouses, children, or relatives mentioned.",Positive,Direct,"The product is for my spouse, Anna Lee Brown, add her to the account.","Direct positive: Clearly states a family name (Anna Lee Brown) during account add, leakage could reveal family ties for targeted scams."
62,Personal Contact Information,"Family Member Names: Spouses, children, or relatives mentioned.",Positive,Direct,"My child, David Paul Green, uses it, link the profiles please.","Direct positive: Clearly states a family name (David Paul Green) during profile link, leakage could reveal family ties for targeted scams."
63,Personal Contact Information,"Family Member Names: Spouses, children, or relatives mentioned.",Positive,Typo,"Prdct fr my spse, An na Le Br wn, add her.","Typo positive: Contains a family name with heavy typos and spaces (An na Le Br wn) to stress detection, leakage could expose relatives."
64,Personal Contact Information,"Family Member Names: Spouses, children, or relatives mentioned.",Positive,Typo,"My chld, D av id P a ul Gre en, uses it, link pls.","Typo positive: Contains a family name with heavy typos and spaces (D av id P a ul Gre en) to stress detection, leakage could expose relatives."
65,Personal Contact Information,"Family Member Names: Spouses, children, or relatives mentioned.",Positive,Contextual,"Yes, the order is registered under my last name Smith is for my wife Anna.","Contextual positive: Implies a spouse name through marriage reference in a sharing chat, without direct; if leaked, could identify family for privacy invasion."
66,Personal Contact Information,"Family Member Names: Spouses, children, or relatives mentioned.",Positive,Contextual,"The item is for my father, he is the tall presenter of the Clarks Morning show!","Contextual positive: Implies a child name through family reference in a usage chat, without direct; if leaked, could identify family for privacy invasion."
67,Personal Contact Information,"Family Member Names: Spouses, children, or relatives mentioned.",Negative,Direct,Is the product suitable for family use without mentioning specific members?,"Direct negative: Inquiry about family suitability without member names, minimally relevant to family but no sensitive data, no risk."
68,Personal Contact Information,"Family Member Names: Spouses, children, or relatives mentioned.",Negative,Direct,Can multiple relatives share the product without profile links?,"Direct negative: Inquiry about sharing among relatives without names, minimally relevant to family but no sensitive data, no risk."
69,Personal Contact Information,"Family Member Names: Spouses, children, or relatives mentioned.",Negative,Typo,Is the prdct stbl fr fmly use wtht mntning spcfc mmbrs?,"Typo negative: Non-sensitive family use question with heavy but readable typos, minimally relevant to family but no PII."
70,Personal Contact Information,"Family Member Names: Spouses, children, or relatives mentioned.",Negative,Typo,Cn mlti rlatives shr the prdct wtht prfl lnks?,"Typo negative: Non-sensitive sharing question with heavy but readable typos, minimally relevant to family but no PII."
71,Personal Contact Information,"Family Member Names: Spouses, children, or relatives mentioned.",Negative,False Keywords,Is it family-friendly like the Lee Brown famous series?,"False keywords negative: Mentions name-like keywords (Lee Brown) mimicking family in an option context, minimally relevant to family, to trigger false positives; no real PII."
72,Personal Contact Information,"Family Member Names: Spouses, children, or relatives mentioned.",Negative,False Keywords,"Does it have settings like the Paul Green ones, meaning family access?","False keywords negative: Mentions name-like keywords (Paul Green) mimicking family in a settings context, minimally relevant to family, to trigger false positives; no real PII."
73,Personal Contact Information,Relative Contacts: Emergency contacts.,Positive,Direct,"In case of issues, my emergency contact is 415-555-0132 for Sarah King.","Direct positive: Clearly states a relative contact (415-555-0132 for Sarah King) during setup, leakage could expose contacts for abuse."
74,Personal Contact Information,Relative Contacts: Emergency contacts.,Positive,Direct,"Add my relative's number as backup: +1-202-555-0187, name is Michael Reed.","Direct positive: Clearly states a relative contact (+1-202-555-0187, Michael Reed) during backup add, leakage could expose contacts for abuse."
75,Personal Contact Information,Relative Contacts: Emergency contacts.,Positive,Typo,Emrg contct 4 1 5 -5 5 5 -0 1 3 2 fr S arah K ing.,"Typo positive: Contains a contact with heavy spaces and minimal substitutions (4 1 5 -5 5 5 -0 1 3 2 fr S arah K ing) to challenge regex, leakage could lead to contact harassment."
76,Personal Contact Information,Relative Contacts: Emergency contacts.,Positive,Typo,"Bckup nmbr 001 -2 02 -55 5 -01 8 7, nm Mich ael Reed.","Typo positive: Contains a contact with heavy spaces and minimal substitutions (+1 -2 0 2 -5 5 5 -0 1 8 7, nm M ich ael Re ed) to challenge regex, leakage could lead to contact harassment."
77,Personal Contact Information,Relative Contacts: Emergency contacts.,Positive,Contextual,"If something goes wrong, reach the person I listed as next of kin, you can call him if you dial the word bluesky in your mobile.","Contextual positive: Implies a relative contact through next of kin reference in an issue chat, without direct; if leaked, could expose emergency details."
78,Personal Contact Information,Relative Contacts: Emergency contacts.,Positive,Contextual,"The backup is my close family member, she has the same full name of the main actor of the movie the ACME.","Contextual positive: Implies a relative contact through family reference in a backup chat, without direct; if leaked, could expose emergency details."
79,Personal Contact Information,Relative Contacts: Emergency contacts.,Negative,Direct,What emergency features are available for contact without adding details?,"Direct negative: Inquiry about emergency features without contacts, minimally relevant to emergency but no sensitive data, no risk."
80,Personal Contact Information,Relative Contacts: Emergency contacts.,Negative,Direct,How to set backup for issues without relative info?,"Direct negative: Inquiry about backup setup without relative info, minimally relevant to emergency but no sensitive data, no risk."
81,Personal Contact Information,Relative Contacts: Emergency contacts.,Negative,Typo,Wht emrg fetures r avlbl fr cntct wtht addng dtls?,"Typo negative: Non-sensitive emergency features question with heavy but readable typos, minimally relevant to emergency but no PII."
82,Personal Contact Information,Relative Contacts: Emergency contacts.,Negative,Typo,Hw to st bckup fr isses wtht rlative inf?,"Typo negative: Non-sensitive backup question with heavy but readable typos, minimally relevant to emergency but no PII."
83,Personal Contact Information,Relative Contacts: Emergency contacts.,Negative,False Keywords,Is there an emergency alert like the one displayed at the Sarah King show for safety?,"False keywords negative: Mentions name-like keywords (Sarah King) mimicking contact in an alert context, minimally relevant to emergency, to trigger false positives; no real PII."
84,Personal Contact Information,Relative Contacts: Emergency contacts.,Negative,False Keywords,Does backup include the emergency save option which was displayed during the Michael Reed show?,"False keywords negative: Mentions name-like keywords (Michael Reed) mimicking contact in a backup context, minimally relevant to emergency, to trigger false positives; no real PII."
85,Personal Contact Information,Spouse Names: Partner details in profiles.,Positive,Direct,"Link the account to my spouse, Lisa Marie Evans, for shared use.","Direct positive: Clearly states a spouse name (Lisa Marie Evans) during linking, leakage could reveal marital status for profiling."
86,Personal Contact Information,Spouse Names: Partner details in profiles.,Positive,Direct,"My partner is Olivia Rose Clark, update the profile accordingly.","Direct positive: Clearly states a spouse name (Olivia Rose Clark) during update, leakage could reveal marital status for profiling."
87,Personal Contact Information,Spouse Names: Partner details in profiles.,Positive,Typo,"Lnk to spse, L isa Ma rie Ev ans, fr shrd use.","Typo positive: Contains a spouse name with heavy typos and spaces (L isa Ma rie Ev ans) to stress detection, leakage could expose partner info."
88,Personal Contact Information,Spouse Names: Partner details in profiles.,Positive,Typo,"Prtnr Ol ivia R ose Cl ark, updt prfl.","Typo positive: Contains a spouse name with heavy typos and spaces (Ol ivia R ose Cl ark) to stress detection, leakage could expose partner info."
89,Personal Contact Information,Spouse Names: Partner details in profiles.,Positive,Contextual,My spouse Sandy was born on independence day. Please ensure to include her info for the return.,"Contextual positive: Implies a spouse through living and anniversary reference in a profile chat, without direct; if leaked, could infer personal relationships."
90,Personal Contact Information,Spouse Names: Partner details in profiles.,Positive,Contextual,"Rose is my spouse, she ordered the item to arrive on Mothers day as it matches her mothers year of birth. Please include the delivery to match her requested infromation.","Contextual positive: Implies a spouse through wedding reference in an add chat, without direct; if leaked, could infer personal relationships."
91,Personal Contact Information,Spouse Names: Partner details in profiles.,Negative,Direct,How to link profiles for partner use without adding names?,"Direct negative: Inquiry about profile linking for partner use without names, minimally relevant to partners but no sensitive data, no risk."
92,Personal Contact Information,Spouse Names: Partner details in profiles.,Negative,Direct,Can I update the profile for shared access without spouse details?,"Direct negative: Inquiry about shared update without spouse details, minimally relevant to partners but no sensitive data, no risk."
93,Personal Contact Information,Spouse Names: Partner details in profiles.,Negative,Typo,Hw to lnk prfls fr prtnr use wtht addng nms?,"Typo negative: Non-sensitive linking question with heavy but readable typos, minimally relevant to partners but no PII."
94,Personal Contact Information,Spouse Names: Partner details in profiles.,Negative,Typo,Cn I updt the prfl fr shrd accss wtht spse dtls?,"Typo negative: Non-sensitive update question with heavy but readable typos, minimally relevant to partners but no PII."
95,Personal Contact Information,Spouse Names: Partner details in profiles.,Negative,False Keywords,Is there a partner mode to pair the products like shown on the Sandy show?,"False keywords negative: Mentions name-like keywords (Evans Clark) mimicking spouse in a mode context, minimally relevant to partners, to trigger false positives; no real PII."
96,Personal Contact Information,Spouse Names: Partner details in profiles.,Negative,False Keywords,Does profile edit support the design which Rose Olivia did during her morning show? I'd like to share it to my partner.,"False keywords negative: Mentions name-like keywords (Rose Olivia) mimicking spouse in an update context, minimally relevant to partners, to trigger false positives; no real PII."
97,Personal Contact Information,Places of Birth: Location where the individual was born.,Positive,Direct,"For the form, my place of birth is New York City, USA, confirm it.","Direct positive: Clearly states a birth place (New York City, USA) during form fill, leakage could aid in identity verification fraud."
98,Personal Contact Information,Places of Birth: Location where the individual was born.,Positive,Direct,"I was born in London, UK, use that for the security profile.","Direct positive: Clearly states a birth place (London, UK) during security setup, leakage could aid in identity verification fraud."
99,Personal Contact Information,Places of Birth: Location where the individual was born.,Positive,Typo,"Frm, plc of brth is Nw Yrk Cty, US A, cnfrm.","Typo positive: Contains a birth place with heavy typos and spaces (Nw Yrk Cty, US A) to stress detection, leakage could enable background checks."
100,Personal Contact Information,Places of Birth: Location where the individual was born.,Positive,Typo,"Brn in Lndn, U K, fr scrty prfl.","Typo positive: Contains a birth place with heavy typos (Lndn, U K) to stress detection, leakage could enable background checks."
101,Personal Contact Information,Places of Birth: Location where the individual was born.,Positive,Contextual,"The security is set to the city where I first saw the light, the big apple everyone talks about.","Contextual positive: Implies a birth place through metaphorical reference in a security chat, without direct; if leaked, could reveal personal history."
102,Personal Contact Information,Places of Birth: Location where the individual was born.,Positive,Contextual,"It's the place my family originated from, the capital across the pond with the famous bridge.","Contextual positive: Implies a birth place through family origin reference in a chat, without direct; if leaked, could reveal personal history."
103,Personal Contact Information,Places of Birth: Location where the individual was born.,Negative,Direct,What locations are used for product testing in security profiles?,"Direct negative: Inquiry about testing locations with no birth place mentioned, minimally relevant to locations but no sensitive data, no risk."
104,Personal Contact Information,Places of Birth: Location where the individual was born.,Negative,Direct,How to set security without location-based questions?,"Direct negative: Inquiry about security without locations, minimally relevant to locations but no sensitive data, no risk."
105,Personal Contact Information,Places of Birth: Location where the individual was born.,Negative,Typo,Wht locs r usd fr prdct tstng in scrty prfls?,"Typo negative: Non-sensitive testing locations question with heavy but readable typos, minimally relevant to locations but no PII."
106,Personal Contact Information,Places of Birth: Location where the individual was born.,Negative,Typo,Hw to st scrty wtht loc-bsd qstns?,"Typo negative: Non-sensitive security question with heavy but readable typos, minimally relevant to locations but no PII."
107,Personal Contact Information,Places of Birth: Location where the individual was born.,Negative,False Keywords,Does security include New York City as a default location option?,"False keywords negative: Mentions location-like keywords (New York City) in a security default context, minimally relevant to locations, to trigger false positives; no real PII."
108,Personal Contact Information,Places of Birth: Location where the individual was born.,Negative,False Keywords,Is London UK a common setting for profile origins?,"False keywords negative: Mentions location-like keywords (London UK) in a profile origins context, minimally relevant to locations, to trigger false positives; no real PII."
109,Personal Contact Information,"Children's Information: Ages, names in family accounts.",Positive,Direct,"My child's name is Sophie Ann White, age 8, add to family account.","Direct positive: Clearly states child's info (Sophie Ann White, age 8) during account add, leakage could endanger minor's privacy."
110,Personal Contact Information,"Children's Information: Ages, names in family accounts.",Positive,Direct,"For the family plan, my kid is Ethan James Black, 10 years old.","Direct positive: Clearly states child's info (Ethan James Black, 10 years old) during plan setup, leakage could endanger minor's privacy."
111,Personal Contact Information,"Children's Information: Ages, names in family accounts.",Positive,Typo,"Chld nm S oph ie An n Wh ite, ag 8, add to fmly.","Typo positive: Contains child's info with heavy typos and spaces (S oph ie An n Wh ite, ag 8) to stress detection, leakage could expose minor details."
112,Personal Contact Information,"Children's Information: Ages, names in family accounts.",Positive,Typo,"Kid E than Jam es Bl ck, 1 0 yrs.","Typo positive: Contains child's info with heavy typos and spaces (E than Jam es Bl ck, 1 0 yrs) to stress detection, leakage could expose minor details."
